Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
Atlanta,Job Title,2018-06,Property Manager,Median Base Pay,54270,0.043
Atlanta,Job Title,2018-06,Producer,Median Base Pay,60239,-0.023
Atlanta,Job Title,2018-06,Quality Engineer,Median Base Pay,71051,0.012
Atlanta,Job Title,2018-06,Operations Analyst,Median Base Pay,57175,0.031
Atlanta,Job Title,2018-06,Medical Assistant,Median Base Pay,35687,0.044
Atlanta,Job Title,2018-06,Tax Manager,Median Base Pay,102814,0.051
Atlanta,Job Title,2018-06,Technical Editor,Median Base Pay,56270,0.015
Atlanta,Job Title,2018-06,Truck Driver,Median Base Pay,53263,0.072
Atlanta,Job Title,2018-06,Insurance Agent,Median Base Pay,38975,0.014
Atlanta,Job Title,2018-06,Medical Technologist,Median Base Pay,57851,0.022
Atlanta,Job Title,2018-06,Field Engineer,Median Base Pay,67323,0.021
Atlanta,Job Title,2018-06,Machine Operator,Median Base Pay,36684,0.016
Atlanta,Job Title,2018-06,Communications Manager,Median Base Pay,71049,-0.007
Atlanta,Job Title,2018-06,Construction Laborer,Median Base Pay,36782,0.028
Atlanta,Job Title,2018-06,Emergency Medical Technician,Median Base Pay,37431,0.024
Atlanta,Job Title,2018-06,Web Designer,Median Base Pay,58282,-0.008
Atlanta,Job Title,2018-06,Maintenance Worker,Median Base Pay,39494,0.014
Atlanta,Job Title,2018-06,Barista,Median Base Pay,22435,0.035
Atlanta,Job Title,2018-06,Bartender,Median Base Pay,34508,0.045
Atlanta,Job Title,2018-06,Civil Engineer,Median Base Pay,68150,0.008
Atlanta,Job Title,2018-06,Claims Adjuster,Median Base Pay,50556,0.036
Atlanta,Job Title,2018-06,Certified Nursing Assistant,Median Base Pay,26530,0.036
Atlanta,Job Title,2018-06,Customer Service Representative,Median Base Pay,37744,0.022
Atlanta,Job Title,2018-06,Delivery Driver,Median Base Pay,37154,0.02
Atlanta,Job Title,2018-06,Financial Advisor,Median Base Pay,52107,0.045
Atlanta,Job Title,2018-06,Licensed Practical Nurse,Median Base Pay,43570,0.024
Atlanta,Job Title,2018-06,Loan Officer,Median Base Pay,41517,-0.034
Atlanta,Job Title,2018-06,Maintenance Technician,Median Base Pay,47573,0.034
Atlanta,Job Title,2018-06,Material Handler,Median Base Pay,34454,0.05
Atlanta,Job Title,2018-06,Network Engineer,Median Base Pay,70245,-0.038
Atlanta,Job Title,2018-06,Office Manager,Median Base Pay,47913,0.015
Atlanta,Job Title,2018-06,Pharmacist,Median Base Pay,119585,0.029
Atlanta,Job Title,2018-06,Process Engineer,Median Base Pay,77409,0.003
Atlanta,Job Title,2018-06,Program Manager,Median Base Pay,82907,0.008
Atlanta,Job Title,2018-06,Research Assistant,Median Base Pay,31017,-0.001
Atlanta,Job Title,2018-06,Restaurant Manager,Median Base Pay,52554,0.015
Atlanta,Job Title,2018-06,Security Officer,Median Base Pay,33257,0.047
Atlanta,Job Title,2018-06,Server,Median Base Pay,33129,0.025
Atlanta,Job Title,2018-06,Solutions Architect,Median Base Pay,115046,0.04
Atlanta,Job Title,2018-06,Systems Engineer,Median Base Pay,79157,0.019
Atlanta,Job Title,2018-06,Technical Support,Median Base Pay,44374,0.029
Atlanta,Job Title,2018-06,UX Designer,Median Base Pay,83280,-0.002
New York City,Job Title,2018-06,Software Engineer,Median Base Pay,104146,0.024
New York City,Job Title,2018-06,Programmer Analyst,Median Base Pay,82066,0.011
New York City,Job Title,2018-06,Consultant,Median Base Pay,90747,0.024
New York City,Job Title,2018-06,Project Manager,Median Base Pay,85450,0
New York City,Job Title,2018-06,Store Manager,Median Base Pay,59838,0.023
New York City,Job Title,2018-06,Business Analyst,Median Base Pay,80461,0.013
New York City,Job Title,2018-06,Cashier,Median Base Pay,29872,0.055
New York City,Job Title,2018-06,Financial Analyst,Median Base Pay,77443,0.027
New York City,Job Title,2018-06,Administrative Assistant,Median Base Pay,49127,0.025
New York City,Job Title,2018-06,Accountant,Median Base Pay,64090,0.03
New York City,Job Title,2018-06,Sales Representative,Median Base Pay,56179,0.016
New York City,Job Title,2018-06,Professor,Median Base Pay,113731,0.004
New York City,Job Title,2018-06,Registered Nurse,Median Base Pay,86874,0.019
New York City,Job Title,2018-06,Marketing Manager,Median Base Pay,84815,0.02
New York City,Job Title,2018-06,Operations Manager,Median Base Pay,78725,0.009
New York City,Job Title,2018-06,Product Manager,Median Base Pay,110063,0.028
New York City,Job Title,2018-06,Sales Manager,Median Base Pay,78120,0.03
New York City,Job Title,2018-06,Teacher,Median Base Pay,64755,0.034
New York City,Job Title,2018-06,Bank Teller,Median Base Pay,34997,0.087
New York City,Job Title,2018-06,Customer Service Manager,Median Base Pay,63982,0.037
New York City,Job Title,2018-06,Physical Therapist,Median Base Pay,78114,-0.018
New York City,Job Title,2018-06,Mechanical Engineer,Median Base Pay,75816,0.036
New York City,Job Title,2018-06,Recruiter,Median Base Pay,63205,0.025
New York City,Job Title,2018-06,Design Engineer,Median Base Pay,80172,0.061
New York City,Job Title,2018-06,Pharmacy Technician,Median Base Pay,30806,0.029
New York City,Job Title,2018-06,Graphic Designer,Median Base Pay,58905,0.034
New York City,Job Title,2018-06,Web Developer,Median Base Pay,86232,0.048
New York City,Job Title,2018-06,Business Development Manager,Median Base Pay,83633,0.049
New York City,Job Title,2018-06,Data Scientist,Median Base Pay,112252,0.004
New York City,Job Title,2018-06,Buyer,Median Base Pay,72446,0.029
New York City,Job Title,2018-06,Data Analyst,Median Base Pay,72331,0.025
New York City,Job Title,2018-06,Electrical Engineer,Median Base Pay,80330,0.022
New York City,Job Title,2018-06,Attorney,Median Base Pay,128902,0.022
New York City,Job Title,2018-06,Human Resources Manager,Median Base Pay,86939,0.023
New York City,Job Title,2018-06,Technician,Median Base Pay,53147,0.025
New York City,Job Title,2018-06,Restaurant Cook,Median Base Pay,31907,0.018
New York City,Job Title,2018-06,Production Manager,Median Base Pay,77629,0.027
New York City,Job Title,2018-06,Manufacturing Engineer,Median Base Pay,74184,0.011
New York City,Job Title,2018-06,Retail Key Holder,Median Base Pay,34934,0.055
New York City,Job Title,2018-06,Paralegal,Median Base Pay,57438,0.021
New York City,Job Title,2018-06,Java Developer,Median Base Pay,88291,0.056
New York City,Job Title,2018-06,Warehouse Associate,Median Base Pay,43048,0.075
New York City,Job Title,2018-06,Property Manager,Median Base Pay,67161,0.049
New York City,Job Title,2018-06,Producer,Median Base Pay,77113,-0.017
New York City,Job Title,2018-06,Quality Engineer,Median Base Pay,78225,0.019
New York City,Job Title,2018-06,Operations Analyst,Median Base Pay,72097,0.038
New York City,Job Title,2018-06,Medical Assistant,Median Base Pay,39816,0.051
New York City,Job Title,2018-06,Tax Manager,Median Base Pay,125281,0.057
New York City,Job Title,2018-06,Technical Editor,Median Base Pay,64710,0.022
New York City,Job Title,2018-06,Truck Driver,Median Base Pay,57481,0.079
New York City,Job Title,2018-06,Insurance Agent,Median Base Pay,42686,0.021
New York City,Job Title,2018-06,Medical Technologist,Median Base Pay,63096,0.029
New York City,Job Title,2018-06,Field Engineer,Median Base Pay,77097,0.027
New York City,Job Title,2018-06,Machine Operator,Median Base Pay,39664,0.023
New York City,Job Title,2018-06,Communications Manager,Median Base Pay,83032,-0.001
New York City,Job Title,2018-06,Construction Laborer,Median Base Pay,47075,0.035
New York City,Job Title,2018-06,Emergency Medical Technician,Median Base Pay,38668,0.031
New York City,Job Title,2018-06,Web Designer,Median Base Pay,64508,-0.002
New York City,Job Title,2018-06,Maintenance Worker,Median Base Pay,42928,0.02
New York City,Job Title,2018-06,Barista,Median Base Pay,27352,0.041
New York City,Job Title,2018-06,Bartender,Median Base Pay,37520,0.052
New York City,Job Title,2018-06,Civil Engineer,Median Base Pay,77598,0.015
New York City,Job Title,2018-06,Claims Adjuster,Median Base Pay,58983,0.042
New York City,Job Title,2018-06,Certified Nursing Assistant,Median Base Pay,37200,0.042
New York City,Job Title,2018-06,Customer Service Representative,Median Base Pay,43572,0.029
New York City,Job Title,2018-06,Delivery Driver,Median Base Pay,39940,0.026
New York City,Job Title,2018-06,Financial Advisor,Median Base Pay,60729,0.052
New York City,Job Title,2018-06,Licensed Practical Nurse,Median Base Pay,53642,0.03
New York City,Job Title,2018-06,Loan Officer,Median Base Pay,44267,-0.028
New York City,Job Title,2018-06,Maintenance Technician,Median Base Pay,47412,0.041
New York City,Job Title,2018-06,Material Handler,Median Base Pay,39642,0.057
New York City,Job Title,2018-06,Network Engineer,Median Base Pay,79521,-0.032
New York City,Job Title,2018-06,Office Manager,Median Base Pay,57394,0.022
New York City,Job Title,2018-06,Pharmacist,Median Base Pay,124827,0.036
New York City,Job Title,2018-06,Process Engineer,Median Base Pay,83034,0.009
New York City,Job Title,2018-06,Program Manager,Median Base Pay,91649,0.014
New York City,Job Title,2018-06,Research Assistant,Median Base Pay,36862,0.005
New York City,Job Title,2018-06,Restaurant Manager,Median Base Pay,61171,0.022
New York City,Job Title,2018-06,Security Officer,Median Base Pay,39904,0.053
New York City,Job Title,2018-06,Server,Median Base Pay,35466,0.031
New York City,Job Title,2018-06,Solutions Architect,Median Base Pay,120713,0.047
New York City,Job Title,2018-06,Systems Engineer,Median Base Pay,87705,0.025
New York City,Job Title,2018-06,Technical Support,Median Base Pay,58043,0.036
New York City,Job Title,2018-06,UX Designer,Median Base Pay,93691,0.005
Los Angeles,Job Title,2018-06,Software Engineer,Median Base Pay,99127,0.026
Los Angeles,Job Title,2018-06,Programmer Analyst,Median Base Pay,80430,0.013
Los Angeles,Job Title,2018-06,Consultant,Median Base Pay,90264,0.026
Los Angeles,Job Title,2018-06,Project Manager,Median Base Pay,83615,0.002
Los Angeles,Job Title,2018-06,Store Manager,Median Base Pay,61925,0.025
Los Angeles,Job Title,2018-06,Business Analyst,Median Base Pay,75419,0.015
Los Angeles,Job Title,2018-06,Cashier,Median Base Pay,31560,0.057
Los Angeles,Job Title,2018-06,Financial Analyst,Median Base Pay,71752,0.029
Los Angeles,Job Title,2018-06,Administrative Assistant,Median Base Pay,47522,0.026
Los Angeles,Job Title,2018-06,Accountant,Median Base Pay,62100,0.032
Los Angeles,Job Title,2018-06,Sales Representative,Median Base Pay,54900,0.018
Los Angeles,Job Title,2018-06,Professor,Median Base Pay,109965,0.006
Los Angeles,Job Title,2018-06,Registered Nurse,Median Base Pay,90754,0.021
Los Angeles,Job Title,2018-06,Marketing Manager,Median Base Pay,85115,0.022
Los Angeles,Job Title,2018-06,Operations Manager,Median Base Pay,77198,0.011
Los Angeles,Job Title,2018-06,Product Manager,Median Base Pay,106594,0.03
Los Angeles,Job Title,2018-06,Sales Manager,Median Base Pay,75192,0.032
Los Angeles,Job Title,2018-06,Teacher,Median Base Pay,61865,0.036
Los Angeles,Job Title,2018-06,Bank Teller,Median Base Pay,33747,0.089
Los Angeles,Job Title,2018-06,Customer Service Manager,Median Base Pay,64976,0.039
Los Angeles,Job Title,2018-06,Physical Therapist,Median Base Pay,88818,-0.016
Los Angeles,Job Title,2018-06,Mechanical Engineer,Median Base Pay,82963,0.038
Los Angeles,Job Title,2018-06,Recruiter,Median Base Pay,61967,0.027
Los Angeles,Job Title,2018-06,Design Engineer,Median Base Pay,85504,0.063
Los Angeles,Job Title,2018-06,Pharmacy Technician,Median Base Pay,37382,0.031
Los Angeles,Job Title,2018-06,Graphic Designer,Median Base Pay,57852,0.036
Los Angeles,Job Title,2018-06,Web Developer,Median Base Pay,82048,0.05
Los Angeles,Job Title,2018-06,Business Development Manager,Median Base Pay,80287,0.051
Los Angeles,Job Title,2018-06,Data Scientist,Median Base Pay,115100,0.006
Los Angeles,Job Title,2018-06,Buyer,Median Base Pay,64173,0.031
Los Angeles,Job Title,2018-06,Data Analyst,Median Base Pay,72031,0.027
Los Angeles,Job Title,2018-06,Electrical Engineer,Median Base Pay,87481,0.024
Los Angeles,Job Title,2018-06,Attorney,Median Base Pay,130997,0.024
Los Angeles,Job Title,2018-06,Human Resources Manager,Median Base Pay,85331,0.025
Los Angeles,Job Title,2018-06,Technician,Median Base Pay,52985,0.027
Los Angeles,Job Title,2018-06,Restaurant Cook,Median Base Pay,32919,0.02
Los Angeles,Job Title,2018-06,Production Manager,Median Base Pay,79272,0.029
Los Angeles,Job Title,2018-06,Manufacturing Engineer,Median Base Pay,80405,0.013
Los Angeles,Job Title,2018-06,Retail Key Holder,Median Base Pay,34141,0.057
Los Angeles,Job Title,2018-06,Paralegal,Median Base Pay,61408,0.023
Los Angeles,Job Title,2018-06,Java Developer,Median Base Pay,89387,0.058
Los Angeles,Job Title,2018-06,Warehouse Associate,Median Base Pay,49609,0.077
Los Angeles,Job Title,2018-06,Property Manager,Median Base Pay,62465,0.051
Los Angeles,Job Title,2018-06,Producer,Median Base Pay,77336,-0.015
